invoice_id,Client,Company Code,Fiscal Year,Document Number,Line Item Number,Assignment Number,Billing Number,Customer ID,Customer Name,Currency Code,Amount,Document Date,Due Date
0,001,2000,2006,1000005979,001,INV100000000011268,INV10000,ZAL0239607,Aurora Digital Labs,USD,289620.62,20060920,20061003
1,001,2000,2006,1000010102,001,INV100000000025749,1972953315,ZAL0239607,Aurora Digital Labs,USD,90854.13,20060920,20060930
2,001,2000,2006,1000003150,001,INV100000000031347,8156071238,ZAL0239607,Aurora Digital Labs,USD,546926.31,20060920,20061002
3,001,2000,2006,1000009849,001,INV100000000018923,2339594791,ZAL0239607,Aurora Digital Labs,USD,281855.73,20060920,20061019
4,001,2000,2006,1000001779,001,INV100000000008534,7981544432,ZAL0239607,Aurora Digital Labs,USD,147824.61,20060920,20060930
5,001,2000,2006,1000006825,001,INV100000000011191,9470340837,ZAL0239607,Aurora Digital Labs,USD,54182.07,20060920,20061006
6,001,2000,2006,1000001214,002,INV100000000001503,2945914117,ZAL0239607,Aurora Digital Labs,USD,141030.95,20060920,20061008
7,001,2000,2004,1000000433,001,INV100000000002450,6928031232,ZAL0239607,Aurora Digital Labs,USD,158001.41,20040920,20040922
8,001,1000,2024,1000001563,001,INV100000000003372,7121774937,UXJ6820071,Rossi & Figli S.p.A.,CHF,97246.23,20240920,20241003
9,001,1000,2024,1000001809,001,INV100000000028622,2836680204,UXJ6820071,Rossi & Figli S.p.A.,CHF,114152.89,20240920,20241002
10,001,1000,2024,1000007901,001,INV100000000000534,6082334504,UXJ6820071,Rossi & Figli S.p.A.,CHF,59511.47,20240920,20241013
11,001,1000,2024,1000007162,001,INV100000000016957,7525069797,UXJ6820071,Rossi & Figli S.p.A.,CHF,131369.14,20240920,20240930
12,001,1000,2013,1000004663,001,INV100000000058192,1662584575,IUX2238877,Patel & Co. Pvt. Ltd.,USD,44189.17,20130920,20131007
13,001,4000,2017,1000009936,001,INV100000000002509,6589686034,KVF4482570,Santos & Filhos Comércio,EUR,76007.29,20170920,20171004
14,001,1000,2019,1000002233,001,INV100000000001724,8610928294,JJM5054555,Shoreline Property Group,USD,345082.65,20190920,20191012
15,001,1000,2019,1000004119,001,INV100000000000304,5963628279,JJM5054555,Shoreline Property Group,USD,124690.32,20190920,20191018
16,001,1000,2019,1000027843,001,INV100000000002394,3333923142,JJM5054555,Shoreline Property Group,USD,346555.49,20190920,20190930
17,001,1000,2019,1000038597,001,INV100000000001261,1657689811,JJM5054555,Shoreline Property Group,USD,299305.43,20190920,20191001
18,001,1000,2019,1000000581,001,INV100000000000642,5348941422,JJM5054555,Shoreline Property Group,USD,413676.23,20190920,20191001
19,001,2000,2019,1000003279,001,INV100000000007228,1850766176,TCO9263651,Zhao & Sons Ltd.,EUR,147875.5,20190920,20191011
20,001,1000,2023,1000002630,002,INV100000000009001,2705774211,KST5094255,Infinity Edge Technologies,EUR,145022.53,20230920,20230927
21,001,2000,2024,1000007307,001,INV100000000006584,0828328327,XWZ9909813,Crimson Event Management,USD,352954.32,20240920,20240922
22,001,3000,2023,1000016033,001,INV100000000010851,2676645444,CDK1354752,Ivanov & Partners Ltd.,USD,93206.91,20230920,20231008
23,001,3000,2010,1000012870,001,INV100000000002179,5206899857,XWZ9909813,Crimson Event Management,USD,108707.14,20100920,20101009
24,001,1000,2018,1000004413,003,INV100000000000288,3855233413,JMV1008381,Bertolini & Co. SRL,JPY,22909976.37,20180920,20181014
25,001,1000,2004,1000000052,001,INV100000000000192,8718738308,CEI4303673,Bianchi & Figli SRL,EUR,281630.5,20040920,20041018
26,001,1000,2017,1000000982,001,INV100000000000096,5846003397,KBR7146665,TerraNova Energy Co.,KRW,713206433.62,20170920,20171005
27,001,2000,2019,1000003586,001,INV100000000013597,3137032152,AVR1905370,Dupont & Frères SARL,EUR,178919.84,20190920,20191017
28,001,2000,2019,1000020958,001,INV100000000006974,3730546169,AVR1905370,Dupont & Frères SARL,EUR,81398.27,20190920,20191020
29,001,2000,2019,1000045384,001,INV100000000018143,3484518388,AVR1905370,Dupont & Frères SARL,EUR,53831.27,20190920,20190930
30,001,2000,2019,1000009217,001,INV100000000002248,5416057903,TLW0369383,Blue Horizon Travel Ltd,JPY,23991032.05,20190920,20191010
31,001,1000,2015,1000002172,001,INV100000000001697,5525985983,MTU0130847,Ivanov & Sons Engineering,USD,262068.67,20150920,20151010
32,001,1000,2015,1000000851,001,INV100000000002386,0399862655,MTU0130847,Ivanov & Sons Engineering,USD,232694.61,20150920,20151003
33,001,1000,2015,1000002851,001,INV100000000001616,6035827725,MTU0130847,Ivanov & Sons Engineering,USD,133525.17,20150920,20150930
34,001,1000,2015,1000000853,002,INV100000000002849,2702905165,MTU0130847,Ivanov & Sons Engineering,USD,173232.33,20150920,20150923
35,001,1000,2000,1000000013,001,INV100000000022826,1125714393,MLW7256855,Santos & Filho Lda.,AUD,498486.77,20000920,20001017
36,001,1000,2021,1000011050,001,INV100000000030704,4823497170,UNU1323836,Ferrari & Figli SRL,USD,29345.97,20210920,20210926
37,001,1000,2021,1000010344,001,INV100000000005960,8772308437,UNU1323836,Ferrari & Figli SRL,USD,62708.59,20210920,20210921
38,001,1000,2021,1000002364,001,INV100000000001915,3383539303,UNU1323836,Ferrari & Figli SRL,USD,339007.01,20210920,20211020
39,001,1000,2021,1000003284,001,INV100000000012115,1583447344,UNU1323836,Ferrari & Figli SRL,USD,51989.68,20210920,20210922
40,001,1000,2021,1000024150,002,INV100000000004757,9967184913,UNU1323836,Ferrari & Figli SRL,USD,202218.41,20210920,20211025
41,001,1000,2021,1000001101,001,INV100000000025918,8964709412,UNU1323836,Ferrari & Figli SRL,USD,288225.89,20210920,20211015
42,001,1000,2018,1000011120,001,INV100000000002808,6985328542,EVP4571878,Renault & Fils SARL,EUR,45302.44,20180920,20181001
43,001,1000,2018,1000003022,001,INV100000000008026,8830111745,TAE8255972,Lumen Power Technologies,EUR,284803.64,20180920,20181014
44,001,4000,2011,1000012530,001,INV100000000013932,7158814537,JMV1008381,Bertolini & Co. SRL,JPY,24182331.5,20110920,20111025
45,001,3000,2024,1000013835,001,INV100000000000119,0582233922,SIZ6820794,Global Solutions Ltd,NZD,278316.7,20240920,20240922
46,001,3000,2006,1000018724,001,INV100000000004725,5771427242,JMV1008381,Bertolini & Co. SRL,JPY,41931819.35,20060920,20061017
47,001,2000,2012,1000046360,001,INV100000000013227,1656931381,DDD0641353,Zhang & Co. Limited,USD,77964.96,20120920,20121016
48,001,1000,2021,1000018133,001,INV100000000019347,1034038996,ZTM3306886,Hassan & Sons Pvt. Ltd.,EUR,84603.88,20210920,20210929
49,001,3000,2003,1000013943,001,INV100000000009767,7006183143,TLW0369383,Blue Horizon Travel Ltd,JPY,23406714.66,20030920,20030930
50,001,2000,2009,1000020556,001,INV100000000002436,7655617998,EIJ1498063,Rossi & Figli Costruzioni,USD,238338.17,20090920,20091002
51,001,2000,2007,1000014840,001,INV100000000001882,5867413413,ZTM3306886,Hassan & Sons Pvt. Ltd.,EUR,167897.5,20070920,20070927
52,001,1000,2008,1000007021,001,INV100000000000043,6634676185,AVR1905370,Dupont & Frères SARL,EUR,237506.2,20080920,20081004
53,001,2000,2020,1000000719,001,INV100000000000712,5078118953,PNH6985521,Smith & Co. Consulting,USD,313630.22,20200920,20201011
54,001,2000,2019,1000000977,001,INV100000000005018,4836782463,DDD0641353,Zhang & Co. Limited,USD,319197.37,20190920,20191017
55,001,2000,2019,1000030535,001,INV100000000007810,9759072246,DDD0641353,Zhang & Co. Limited,USD,278994.53,20190920,20190923
56,001,2000,2019,1000010222,001,INV100000000013095,5684864965,DDD0641353,Zhang & Co. Limited,USD,85765.13,20190920,20190927
57,001,4000,2023,1000012027,001,INV100000000000163,5244177136,XQI8289538,Nexus Financial Services,USD,111493.46,20230920,20231011
58,001,1000,2012,1000005335,001,INV100000000004105,8655589009,QYY2957205,Park & Lee Solutions,EUR,361903.72,20120920,20121011
59,001,1000,2003,1000009535,001,INV100000000034903,2947191059,XVO6675883,Schmidt & Co. Handels,USD,75436.19,20030920,20031007
60,001,5000,2019,1000010291,002,INV100000000001655,6389472373,JJM5054555,Shoreline Property Group,USD,126351.04,20190920,20191010
61,001,5000,2019,1000009797,002,INV100000000012362,5284827103,JJM5054555,Shoreline Property Group,USD,241182.31,20190920,20191013
62,001,3000,2013,1000000409,001,INV100000000006682,0082967203,JMV1008381,Bertolini & Co. SRL,JPY,40095981.41,20130920,20131005
63,001,1000,2014,1000000491,001,INV100000000027029,8261879914,YGQ8237982,Eagle Financial Group,USD,181478.27,20140920,20141002
64,001,1000,2010,1000002008,001,INV100000000008188,4149409087,KVF4482570,Santos & Filhos Comércio,EUR,202920.74,20100920,20101010
65,001,1000,2010,1000015428,001,INV100000000004516,1739621230,KVF4482570,Santos & Filhos Comércio,EUR,262513.54,20100920,20100928
66,001,1000,2024,1000000734,001,INV100000000002475,3351108798,YSD3087280,Ramirez & Hijos Servicios,USD,301403.26,20240920,20240929
67,001,2000,2010,1000009713,002,INV100000000000955,5330548154,MLW7256855,Santos & Filho Lda.,AUD,98896.34,20100920,20100923
68,001,4000,2017,1000005671,001,INV100000000000805,5767806610,CEI4303673,Bianchi & Figli SRL,EUR,133142.48,20170920,20171011
69,001,1000,2015,1000001285,001,INV100000000008577,4541480517,JJM5054555,Shoreline Property Group,USD,273904.99,20150920,20151004
70,001,1000,2023,1000019451,001,INV100000000008256,0657979237,YGQ8237982,Eagle Financial Group,USD,131902.64,20230920,20230929
71,001,1000,2020,1000019135,001,INV100000000012595,5205016925,XWZ9909813,Crimson Event Management,USD,208372.87,20200920,20201021
72,001,2000,2016,1000003007,001,INV100000000023733,1700010549,YSD3087280,Ramirez & Hijos Servicios,USD,164425.31,20160920,20161004
73,001,2000,2019,1000037520,001,INV100000000001568,5428061564,UKG9830524,Tanaka & Co. 株式会社,USD,136711.62,20190920,20191024
74,001,3000,2022,1000004780,001,INV100000000015006,4467190090,EIJ1498063,Rossi & Figli Costruzioni,USD,163470.33,20220920,20221012
75,001,1000,2024,1000003195,001,INV100000000001965,5372714823,ZTM3306886,Hassan & Sons Pvt. Ltd.,EUR,83596.06,20240920,20240926
76,001,1000,2008,1000025086,001,INV100000000012812,4760901322,ETW4696582,AeroMax Manufacturing,SEK,1548727.11,20080920,20081009
77,001,1000,2008,1000006758,001,INV100000000003079,4155153662,YMT4618717,Red Maple Ventures,USD,86831.46,20080920,20080930
78,001,1000,2015,1000000612,001,INV100000000001141,2979300496,JJM5054555,Shoreline Property Group,USD,211311.24,20150920,20151004
79,001,1000,2015,1000015163,001,INV100000000013607,6129874585,JJM5054555,Shoreline Property Group,USD,240109.94,20150920,20151004
80,001,1000,2015,1000004235,001,INV100000000054714,8230681426,JJM5054555,Shoreline Property Group,USD,651849.46,20150920,20151015
81,001,1000,2015,1000020088,001,INV100000000014305,3091886329,JJM5054555,Shoreline Property Group,USD,235154.77,20150920,20151015
82,001,1000,2015,1000001582,001,INV100000000003134,3759048764,JJM5054555,Shoreline Property Group,USD,64837.04,20150920,20151015
