payment_id,Business Partner,Account Number,Memo Line,Amount,Currency,Posting Date
0,Aurora Digital Labs,US53XGYW08718806659176,no 0: INV10000 | no 1: 1972953315 | no 2: 8156071238 | no 3: 2339594791 | no 4: 7981544432 | no 5: 9470340837 | no 6: 2945914117 ,1552294.3599999999,USD,20061004
1,ADL TECH,US53XGYW08718806659176,9628031232 INV10000000002450,158001.36000000002,USD,20041001
2,Rossi & Figli S.p.A.,CH63NCZR79469934122522,+ 7121774937 + 2836680204 + 6082334504 + 7525069797 ,402279.73,CHF,20241005
3,P&C Enterprises,ZW71WJDX88155642569867,RECEIPT 166258475 100000000004113 INV10000000005192 NUM a8ykjw34vxq,11727.29,USD,20131010
4,P&C Enterprises,ZW71WJDX88155642569867,RECEIPT 16625845 199 INV100000000058192 NUM b6l6xtg0,32461.879999999997,USD,20130928
5,Santos & Filhos Comércio,DE55ICZQ82524568166254,RECEIPT  6589686034,58550.92,EUR,20171007
6,Santos & Filhos Comércio,DE55ICZQ82524568166254,RECEIPT INV100000000002509 ,17456.369999999995,EUR,20171017
7,SPG REALTY,PA04ULMP25623811229020,"- 8610928294, - 5963628279, - 3333923142, - 1657689811, - 5348941422  REFERENCE 4bqi92u",1529310.1199999999,USD,20190924
8,Zhao & Sons Ltd.,EU73WLSA12736180675587,payment 1850766176  REFERENCE dyyvis8ge98b,10140.58,EUR,20191004
9,Zhao & Sons Ltd.,EU73WLSA12736180675587,payment 1850766176  REFERENCE 7aurfeqra,137734.92,EUR,20191015
10,IET SOLUTIONS,ES20WSWB76296960053374,PAY INV100000000090001 05774211,145022.48,EUR,20231008
11,CEM PLANNERS,SV84DXDX31456639442288,receipt number INV10000000000658 0828328327 REF z47y0l4qr0ql7o,152644.59,USD,20241026
12,CEM PLANNERS,SV84DXDX31456639442288,receipt number INV100000000006854  REF 43zhfp,96527.28,USD,20240929
13,CEM PLANNERS,SV84DXDX31456639442288,receipt number INV100000000006584 0828328327 REF gdej5b2,103782.35000000002,USD,20241025
14,Ivanov & Partners Ltd.,SV24IRDC19095196302839,ORDER OF  INV100000000010851,10391.22,USD,20231011
15,Ivanov & Partners Ltd.,SV24IRDC19095196302839,ORDER OF  INV100000000010851,39899.78,USD,20230927
16,Ivanov & Partners Ltd.,SV24IRDC19095196302839,ORDER OF 2676645444 ,42915.91,USD,20230929
17,Crimson Event Management,SV20BJHO20887918360762,receipt number INV100000000002179  REF xwbks,108707.14,USD,20101020
18,BC Ventures,JP10BDVR92723039543589,INV10000 0000000288 38550233413,22909970.12,JPY,20181011
19,BF Ventures,IE68ILGN99832823108385,RECEIPT 87180738308 INV 100000000000192,281630.49,EUR,20041011
20,TerraNova Energy Co.,KR69MWND72849777139761,PAY  5846003397,713206433.62,KRW,20171003
21,Dupont & Frères SARL,IE69OHOG46653629276946,ORDER OF  1994 ref 0: 3137032152 ref 1: 3730546169 ref 2: 3484518388,314149.35,EUR,20190929
22,Blue Horizon Travel Ltd,JP11NJUW09521234007518,INV1000004000002248 416057903,12690542.9,JPY,20190928
