invoice_id,MANDT,BURKS,GJAHR,BELNR,WAERS,BLDAT
[0],001,2000,2006,1000005979,USD,20060920
[1],001,2000,2006,1000010102,USD,20060920
[2],001,2000,2006,1000003150,USD,20060920
[3],001,2000,2006,1000009849,USD,20060920
[4],001,2000,2006,1000001779,USD,20060920
[5],001,2000,2006,1000006825,USD,20060920
[6],001,2000,2006,1000001214,USD,20060920
[7],001,2000,2004,1000000433,USD,20040920
[8],001,1000,2024,1000001563,CHF,20240920
[9],001,1000,2024,1000001809,CHF,20240920
[10],001,1000,2024,1000007901,CHF,20240920
[11],001,1000,2024,1000007162,CHF,20240920
[12],001,1000,2013,1000004663,USD,20130920
[13],001,4000,2017,1000009936,EUR,20170920
[14],001,1000,2019,1000002233,USD,20190920
[15],001,1000,2019,1000004119,USD,20190920
[16],001,1000,2019,1000027843,USD,20190920
[17],001,1000,2019,1000038597,USD,20190920
[18],001,1000,2019,1000000581,USD,20190920
[19],001,2000,2019,1000003279,EUR,20190920
[20],001,1000,2023,1000002630,EUR,20230920
[21],001,2000,2024,1000007307,USD,20240920
[22],001,3000,2023,1000016033,USD,20230920
[23],001,3000,2010,1000012870,USD,20100920
[24],001,1000,2018,1000004413,JPY,20180920
[25],001,1000,2004,1000000052,EUR,20040920
[26],001,1000,2017,1000000982,KRW,20170920
[27],001,2000,2019,1000003586,EUR,20190920
[28],001,2000,2019,1000020958,EUR,20190920
[29],001,2000,2019,1000045384,EUR,20190920
[30],001,2000,2019,1000009217,JPY,20190920
[31],001,1000,2015,1000002172,USD,20150920
[32],001,1000,2015,1000000851,USD,20150920
[33],001,1000,2015,1000002851,USD,20150920
[34],001,1000,2015,1000000853,USD,20150920
[35],001,1000,2000,1000000013,AUD,20000920
[36],001,1000,2021,1000011050,USD,20210920
[37],001,1000,2021,1000010344,USD,20210920
[38],001,1000,2021,1000002364,USD,20210920
[39],001,1000,2021,1000003284,USD,20210920
[40],001,1000,2021,1000024150,USD,20210920
[41],001,1000,2021,1000001101,USD,20210920
[42],001,1000,2018,1000011120,EUR,20180920
[43],001,1000,2018,1000003022,EUR,20180920
[44],001,4000,2011,1000012530,JPY,20110920
[45],001,3000,2024,1000013835,NZD,20240920
[46],001,3000,2006,1000018724,JPY,20060920
[47],001,2000,2012,1000046360,USD,20120920
[48],001,1000,2021,1000018133,EUR,20210920
[49],001,3000,2003,1000013943,JPY,20030920
[50],001,2000,2009,1000020556,USD,20090920
[51],001,2000,2007,1000014840,EUR,20070920
[52],001,1000,2008,1000007021,EUR,20080920
[53],001,2000,2020,1000000719,USD,20200920
[54],001,2000,2019,1000000977,USD,20190920
[55],001,2000,2019,1000030535,USD,20190920
[56],001,2000,2019,1000010222,USD,20190920
[57],001,4000,2023,1000012027,USD,20230920
[58],001,1000,2012,1000005335,EUR,20120920
[59],001,1000,2003,1000009535,USD,20030920
[60],001,5000,2019,1000010291,USD,20190920
[61],001,5000,2019,1000009797,USD,20190920
[62],001,3000,2013,1000000409,JPY,20130920
[63],001,1000,2014,1000000491,USD,20140920
[64],001,1000,2010,1000002008,EUR,20100920
[65],001,1000,2010,1000015428,EUR,20100920
[66],001,1000,2024,1000000734,USD,20240920
[67],001,2000,2010,1000009713,AUD,20100920
[68],001,4000,2017,1000005671,EUR,20170920
[69],001,1000,2015,1000001285,USD,20150920
[70],001,1000,2023,1000019451,USD,20230920
[71],001,1000,2020,1000019135,USD,20200920
[72],001,2000,2016,1000003007,USD,20160920
[73],001,2000,2019,1000037520,USD,20190920
[74],001,3000,2022,1000004780,USD,20220920
[75],001,1000,2024,1000003195,EUR,20240920
[76],001,1000,2008,1000025086,SEK,20080920
[77],001,1000,2008,1000006758,USD,20080920
[78],001,1000,2015,1000000612,USD,20150920
[79],001,1000,2015,1000015163,USD,20150920
[80],001,1000,2015,1000004235,USD,20150920
[81],001,1000,2015,1000020088,USD,20150920
[82],001,1000,2015,1000001582,USD,20150920
[83],001,1000,2008,1000023551,EUR,20080920
[84],001,1000,2008,1000000498,EUR,20080920
[85],001,1000,2008,1000008718,EUR,20080920
[86],001,1000,2008,1000006483,EUR,20080920
[87],001,1000,2008,1000012483,EUR,20080920
[88],001,2000,2009,1000000410,USD,20090920
[89],001,2000,2009,1000006267,USD,20090920
[90],001,2000,2009,1000003035,USD,20090920
[91],001,2000,2016,1000020529,USD,20160920
[92],001,3000,2009,1000017758,EUR,20090920
[93],001,1000,2024,1000020047,EUR,20240920
[94],001,1000,2001,1000011242,KRW,20010920
[95],001,1000,2001,1000008277,KRW,20010920
[96],001,1000,2001,1000010510,KRW,20010920
[97],001,1000,2001,1000001879,KRW,20010920
[98],001,1000,2001,1000003976,KRW,20010920
[99],001,1000,2001,1000007019,KRW,20010920
[100],001,5000,2019,1000001435,EUR,20190920
[101],001,3000,2005,1000001962,EUR,20050920
[102],001,5000,2016,1000007398,KRW,20160920
[103],001,5000,2016,1000009335,KRW,20160920
[104],001,5000,2016,1000009937,KRW,20160920
[105],001,5000,2016,1000016636,KRW,20160920
[106],001,1000,2005,1000000563,USD,20050920
[107],001,1000,2004,1000004612,JPY,20040920
[108],001,1000,2024,1000004088,USD,20240920
[109],001,1000,2024,1000016987,USD,20240920
[110],001,1000,2024,1000005761,USD,20240920
[111],001,1000,2024,1000000055,USD,20240920
[112],001,1000,2024,1000006798,USD,20240920
[113],001,1000,2012,1000004092,EUR,20120920
[114],001,6000,2004,1000006762,KRW,20040920
[115],001,6000,2004,1000001164,KRW,20040920
[116],001,6000,2004,1000004129,KRW,20040920
[117],001,6000,2004,1000011235,KRW,20040920
[118],001,6000,2004,1000029935,KRW,20040920
[119],001,6000,2004,1000057563,KRW,20040920
[120],001,1000,2002,1000000341,USD,20020920
[121],001,1000,2002,1000011958,USD,20020920
[122],001,1000,2002,1000010429,USD,20020920
[123],001,1000,2002,1000005684,USD,20020920
[124],001,1000,2002,1000000950,USD,20020920
[125],001,1000,2002,1000013705,USD,20020920
[126],001,2000,2012,1000001899,EUR,20120920
[127],001,2000,2012,1000022890,EUR,20120920
[128],001,2000,2012,1000012071,EUR,20120920
[129],001,2000,2012,1000010121,EUR,20120920
[130],001,2000,2012,1000017879,EUR,20120920
[131],001,1000,2024,1000009611,EUR,20240920
[132],001,4000,2005,1000000293,EUR,20050920
[133],001,1000,2017,1000014716,KRW,20170920
[134],001,1000,2020,1000002664,CHF,20200920
[135],001,1000,2020,1000020861,CHF,20200920
[136],001,1000,2020,1000005289,CHF,20200920
[137],001,1000,2007,1000007538,USD,20070920
[138],001,1000,2007,1000016866,USD,20070920
[139],001,1000,2007,1000003709,USD,20070920
[140],001,1000,2018,1000003282,AUD,20180920
[141],001,1000,2018,1000003591,AUD,20180920
[142],001,1000,2018,1000005112,AUD,20180920
[143],001,1000,2018,1000017577,AUD,20180920
[144],001,2000,2014,1000004535,KRW,20140920
[145],001,1000,2013,1000006552,USD,20130920
[146],001,2000,2022,1000015542,EUR,20220920
[147],001,2000,2022,1000003453,EUR,20220920
[148],001,2000,2022,1000001792,EUR,20220920
[149],001,1000,2003,1000002103,USD,20030920
[150],001,1000,2003,1000010134,USD,20030920
[151],001,1000,2003,1000008312,USD,20030920
[152],001,3000,2013,1000009782,USD,20130920
[153],001,1000,2023,1000002941,USD,20230920
[154],001,4000,2011,1000009736,SEK,20110920
[155],001,1000,2016,1000023629,USD,20160920
[156],001,1000,2016,1000006222,USD,20160920
[157],001,1000,2016,1000031261,USD,20160920
[158],001,2000,2009,1000009494,USD,20090920
[159],001,1000,2000,1000009193,EUR,20000920
[160],001,1000,2017,1000017364,USD,20170920
[161],001,1000,2009,1000015915,USD,20090920
[162],001,1000,2000,1000001860,JPY,20000920
[163],001,2000,2005,1000010744,JPY,20050920
[164],001,1000,2021,1000001599,USD,20210920
[165],001,2000,2016,1000014885,JPY,20160920
[166],001,1000,2006,1000012608,USD,20060920
[167],001,1000,2015,1000004719,USD,20150920
[168],001,2000,2018,1000001366,EUR,20180920
[169],001,2000,2018,1000005741,EUR,20180920
[170],001,2000,2018,1000016583,EUR,20180920
[171],001,2000,2017,1000002359,SEK,20170920
[172],001,2000,2017,1000004974,SEK,20170920
[173],001,2000,2017,1000005767,SEK,20170920
[174],001,4000,2015,1000033963,EUR,20150920
[175],001,1000,2007,1000016969,USD,20070920
[176],001,1000,2021,1000017287,USD,20210920
[177],001,1000,2023,1000000042,USD,20230920
[178],001,1000,2017,1000000925,USD,20170920
