invoice_id,MANDT,BURKS,GJAHR,BELNR,BZUEI,ZUONR,VBELN,KUNNR,WRBTR,ZFBDT,ZTERM
[0],001,2000,2006,1000005979,001,INV100000000011268,INV10000,ZAL0239607,289620.62,20061003,0018
[1],001,2000,2006,1000010102,001,INV100000000025749,1972953315,ZAL0239607,90854.13,20060930,0018
[2],001,2000,2006,1000003150,001,INV100000000031347,8156071238,ZAL0239607,546926.31,20061002,0018
[3],001,2000,2006,1000009849,001,INV100000000018923,2339594791,ZAL0239607,281855.73,20061019,0018
[4],001,2000,2006,1000001779,001,INV100000000008534,7981544432,ZAL0239607,147824.61,20060930,0018
[5],001,2000,2006,1000006825,001,INV100000000011191,9470340837,ZAL0239607,54182.07,20061006,0018
[6],001,2000,2006,1000001214,002,INV100000000001503,2945914117,ZAL0239607,141030.95,20061008,0018
[7],001,2000,2004,1000000433,001,INV100000000002450,6928031232,ZAL0239607,158001.41,20040922,0018
[8],001,1000,2024,1000001563,001,INV100000000003372,7121774937,UXJ6820071,97246.23,20241003,0018
[9],001,1000,2024,1000001809,001,INV100000000028622,2836680204,UXJ6820071,114152.89,20241002,0018
[10],001,1000,2024,1000007901,001,INV100000000000534,6082334504,UXJ6820071,59511.47,20241013,0018
[11],001,1000,2024,1000007162,001,INV100000000016957,7525069797,UXJ6820071,131369.14,20240930,0018
[12],001,1000,2013,1000004663,001,INV100000000058192,1662584575,IUX2238877,44189.17,20131007,0010
[13],001,4000,2017,1000009936,001,INV100000000002509,6589686034,KVF4482570,76007.29,20171004,0014
[14],001,1000,2019,1000002233,001,INV100000000001724,8610928294,JJM5054555,345082.65,20191012,0001
[15],001,1000,2019,1000004119,001,INV100000000000304,5963628279,JJM5054555,124690.32,20191018,0001
[16],001,1000,2019,1000027843,001,INV100000000002394,3333923142,JJM5054555,346555.49,20190930,0001
[17],001,1000,2019,1000038597,001,INV100000000001261,1657689811,JJM5054555,299305.43,20191001,0001
[18],001,1000,2019,1000000581,001,INV100000000000642,5348941422,JJM5054555,413676.23,20191001,0001
[19],001,2000,2019,1000003279,001,INV100000000007228,1850766176,TCO9263651,147875.5,20191011,0013
[20],001,1000,2023,1000002630,002,INV100000000009001,2705774211,KST5094255,145022.53,20230927,0005
[21],001,2000,2024,1000007307,001,INV100000000006584,0828328327,XWZ9909813,352954.32,20240922,0015
[22],001,3000,2023,1000016033,001,INV100000000010851,2676645444,CDK1354752,93206.91,20231008,0016
[23],001,3000,2010,1000012870,001,INV100000000002179,5206899857,XWZ9909813,108707.14,20101009,0023
[24],001,1000,2018,1000004413,003,INV100000000000288,3855233413,JMV1008381,22909976.37,20181014,0013
[25],001,1000,2004,1000000052,001,INV100000000000192,8718738308,CEI4303673,281630.5,20041018,0013
[26],001,1000,2017,1000000982,001,INV100000000000096,5846003397,KBR7146665,713206433.62,20171005,0002
[27],001,2000,2019,1000003586,001,INV100000000013597,3137032152,AVR1905370,178919.84,20191017,0024
[28],001,2000,2019,1000020958,001,INV100000000006974,3730546169,AVR1905370,81398.27,20191020,0024
[29],001,2000,2019,1000045384,001,INV100000000018143,3484518388,AVR1905370,53831.27,20190930,0024
[30],001,2000,2019,1000009217,001,INV100000000002248,5416057903,TLW0369383,23991032.05,20191010,0022
[31],001,1000,2015,1000002172,001,INV100000000001697,5525985983,MTU0130847,262068.67,20151010,0010
