invoice_id,MANDT,KUNNR,NAME1,LAND1
"[0, 1, 2, 3, 4, 5, 6, 7, 166, 328, 518, 533, 607, 769, 1041, 1136, 1245, 1382, 1468, 1469, 1473, 1579, 1597, 1598, 1599, 1600, 1603, 1604, 1605, 1617, 1684, 1766, 1767, 1768, 1769, 1780, 1906, 1907, 2039, 2107, 2108, 2109, 2192, 2245, 2316, 2372, 2550, 2556, 2557, 2558, 2686, 2756, 2757, 2758, 2962, 3060, 3169, 3170, 3171, 3172, 3173, 3223, 3300, 3462, 3464, 3505, 3522, 3539, 3553, 3640, 3685, 3686, 3687, 3688, 3880, 3918, 3930, 4055, 4166, 4169, 4170, 4171, 4201, 4349, 4384, 4390, 4501, 4720, 4745, 4851, 4877, 4994, 5027, 5092, 5168, 5224, 5285, 5458, 5542, 5571, 5572, 5573, 5574, 5779, 5814, 5839, 5840, 5870, 5909, 6079, 6142, 6180, 6265, 6340, 6471, 6601, 6613, 6662, 6814, 6972, 7032, 7085, 7139, 7162, 7434, 7451, 7544, 7664, 7696, 7697, 7755, 7772, 7773, 7774, 7791, 7833, 8018, 8051, 8115, 8116, 8117, 8118, 8147, 8257, 8314, 8315, 8316, 8317, 8345, 8374, 8439, 8452, 8472, 8498, 8610, 8772, 8773, 8774, 8777, 8868, 8869, 8870, 8871, 8968, 8984, 8985, 8986, 8996, 9121, 9122, 9123, 9124, 9125, 9126, 9183, 9277, 9359, 9458, 9478, 9480, 9647, 9671, 9740, 9760, 9836, 9851, 9942, 9991, 9992, 10016, 10111, 10132, 10345, 10404, 10524, 10621, 10622, 10623, 10846, 10847, 10848, 10849, 10865, 11032, 11103, 11104, 11105, 11185, 11220, 11221, 11222, 11223, 11396, 11716, 11717, 11790, 11894, 11904, 11905, 11906, 11907, 11908, 11909, 11910, 11911, 12092, 12119, 12120, 12121, 12122, 12123, 12152, 12153, 12154, 12165, 12190, 12379, 12430, 12473, 12517, 12543, 12547, 12548, 12549, 12550, 12624, 12642, 12709, 12710, 12711, 12712, 12870, 12893, 12894, 12964, 13018, 13035, 13054, 13055, 13056, 13057, 13071, 13089, 13146, 13254, 13392, 13449, 13479, 13628, 13682, 13683, 13684, 13685, 13922, 13923, 13924, 13925, 13966, 13969, 14015, 14093, 14100, 14101, 14102, 14103, 14104, 14205, 14206, 14207, 14438, 14469, 14496, 14621, 14680, 14681, 14682, 14683, 14684, 14687, 14717, 15099, 15239, 15273, 15300, 15301, 15302, 15303, 15304, 15425, 15432, 15433, 15434, 15435, 15492, 15493, 15494, 15495, 15496, 15497, 15517]",001,ZAL0239607,Aurora Digital Labs,US
"[8, 9, 10, 11, 134, 135, 136, 229, 230, 383, 504, 505, 506, 507, 508, 579, 580, 581, 582, 583, 604, 708, 777, 926, 991, 1029, 1030, 1032, 1033, 1329, 1357, 1366, 1400, 1448, 1583, 1615, 1650, 1770, 1904, 2033, 2128, 2187, 2275, 2276, 2277, 2278, 2279, 2305, 2376, 2484, 2496, 2652, 2653, 2654, 2655, 2656, 2922, 2923, 2924, 2925, 3056, 3061, 3109, 3110, 3111, 3140, 3250, 3292, 3312, 3361, 3500, 3535, 3536, 3537, 3538, 3596, 3615, 3675, 3792, 3793, 3794, 3795, 3796, 3797, 3798, 3850, 3851, 3852, 3853, 3854, 3943, 3945, 3975, 3996, 4016, 4067, 4077, 4078, 4079, 4080, 4081, 4143, 4307, 4337, 4489, 4516, 4517, 4627, 4629, 4702, 4819, 4865, 4906, 4919, 4921, 4953, 4958, 4976, 4977, 4978, 4979, 5077, 5078, 5079, 5080, 5143, 5144, 5145, 5146, 5147, 5172, 5343, 5433, 5434, 5435, 5447, 5686, 5687, 5688, 5689, 5690, 5720, 5780, 5901, 6006, 6018, 6045, 6136, 6178, 6191, 6336, 6426, 6506, 6584, 6649, 6780, 6921, 6947, 6948, 7094, 7280, 7293, 7319, 7499, 7653, 7654, 7655, 7656, 7657, 7763, 7879, 7984, 8056, 8125, 8162, 8163, 8164, 8172, 8272, 8273, 8284, 8285, 8362, 8588, 8589, 8590, 8591, 8592, 8961, 8962, 8963, 8964, 8965, 9051, 9068, 9181, 9196, 9197, 9198, 9450, 9510, 9511, 9542, 9554, 9588, 9625, 9824, 9838, 9947, 9987, 10058, 10063, 10064, 10065, 10066, 10097, 10105, 10193, 10194, 10195, 10196, 10197, 10198, 10199, 10231, 10330, 10479, 10516, 10654, 10668, 10669, 10670, 10671, 10672, 10678, 10728, 10746, 10757, 10758, 10759, 10807, 10837, 10855, 10859, 10943, 10996, 10998, 11031, 11144, 11524, 11554, 11980, 11984, 11988, 11989, 11990, 12010, 12021, 12082, 12084, 12147, 12302, 12328, 12478, 12505, 12623, 12721, 12722, 12816, 13021, 13067, 13230, 13318, 13434, 13475, 13476, 13548, 13555, 13664, 13700, 13701, 13705, 13767, 13820, 13829, 13853, 13854, 13859, 13881, 14058, 14075, 14266, 14267, 14268, 14269, 14327, 14533, 14538, 14629, 14630, 14631, 14679, 14757, 14809, 14830, 14865, 14866, 14867, 14889, 14961, 14962, 14963, 14974, 15191, 15192, 15193, 15194, 15195, 15309, 15461, 15462, 15463, 15464]",001,UXJ6820071,Rossi & Figli S.p.A.,CH
"[12, 210, 295, 526, 527, 528, 529, 530, 618, 651, 734, 735, 736, 737, 738, 739, 740, 803, 861, 1040, 1044, 1110, 1122, 1153, 1154, 1155, 1156, 1157, 1158, 1195, 1203, 1409, 1410, 1411, 1412, 1413, 1643, 1788, 1853, 1905, 1940, 1959, 1975, 2061, 2184, 2285, 2286, 2287, 2288, 2289, 2337, 2416, 2417, 2418, 2419, 2544, 2567, 2568, 2569, 2570, 2625, 2641, 2643, 2725, 2782, 2799, 2801, 2819, 2820, 2821, 2940, 2941, 2942, 2943, 2945, 3072, 3073, 3133, 3231, 3249, 3251, 3262, 3344, 3433, 3613, 3616, 3813, 3832, 3845, 3874, 3875, 3876, 3877, 3879, 4096, 4165, 4190, 4221, 4306, 4311, 4320, 4359, 4371, 4434, 4486, 4515, 4526, 4656, 4738, 4739, 4740, 4741, 4780, 4781, 4782, 4783, 5020, 5029, 5179, 5245, 5413, 5414, 5457, 5540, 5585, 5659, 5766, 5818, 5819, 6271, 6350, 6368, 6418, 6491, 6557, 6558, 6623, 6642, 6643, 6644, 6647, 6824, 6825, 6826, 6827, 6828, 6863, 6908, 7076, 7104, 7108, 7239, 7282, 7403, 7547, 7821, 7822, 7823, 7827, 7900, 7961, 7993, 7994, 7995, 7996, 8074, 8083, 8139, 8140, 8141, 8142, 8143, 8175, 8208, 8338, 8473, 8474, 8500, 8507, 8650, 8664, 8670, 8671, 8672, 8673, 8674, 8810, 8872, 9100, 9101, 9102, 9103, 9190, 9191, 9192, 9399, 9425, 9437, 9519, 9645, 9697, 9831, 9868, 9917, 9956, 9973, 9974, 9975, 9976, 9977, 9978, 9994, 9995, 9996, 10033, 10034, 10035, 10036, 10037, 10038, 10149, 10257, 10259, 10318, 10385, 10459, 10475, 10543, 10544, 10545, 10546, 10825, 10844, 10878, 11043, 11148, 11345, 11346, 11347, 11431, 11456, 11492, 11608, 11609, 11610, 11653, 11656, 11682, 11695, 11699, 11704, 11788, 11803, 11814, 11919, 11920, 11921, 11944, 11946, 11956, 12044, 12085, 12086, 12090, 12094, 12095, 12096, 12241, 12242, 12243, 12244, 12245, 12246, 12422, 12423, 12628, 12629, 12638, 12658, 12684, 12685, 12686, 12687, 12842, 12872, 12873, 12954, 12955, 12956, 12957, 13047, 13048, 13049, 13076, 13414, 13509, 13558, 13559, 13560, 13574, 13578, 13728, 13729, 13730, 13731, 13746, 13917, 13959, 13960, 13961, 14077, 14231, 14290, 14305, 14547, 14623, 14769, 14927, 14967, 15025, 15026, 15027, 15162, 15184, 15185, 15186, 15284, 15285, 15298, 15407, 15442, 15445, 15507]",001,IUX2238877,Patel & Co. Pvt. Ltd.,ZW
"[13, 64, 65, 101, 168, 169, 170, 203, 335, 336, 337, 338, 339, 340, 441, 522, 625, 698, 758, 857, 870, 934, 969, 974, 988, 1054, 1077, 1193, 1363, 1391, 1392, 1393, 1394, 1440, 1449, 1450, 1451, 1452, 1459, 1464, 1465, 1466, 1491, 1765, 1779, 1817, 1877, 2016, 2049, 2158, 2172, 2214, 2233, 2373, 2434, 2511, 2579, 2580, 2581, 2702, 2812, 2946, 3009, 3010, 3011, 3031, 3037, 3132, 3136, 3181, 3269, 3475, 3670, 3929, 3951, 4030, 4033, 4046, 4137, 4138, 4139, 4140, 4142, 4162, 4203, 4232, 4416, 4443, 4533, 4534, 4535, 4536, 4691, 4693, 4704, 4894, 4898, 4899, 4900, 4929, 5028, 5070, 5138, 5175, 5204, 5255, 5256, 5257, 5258, 5263, 5300, 5314, 5354, 5355, 5356, 5357, 5358, 5359, 5360, 5499, 5534, 5562, 5563, 5564, 5565, 5566, 5623, 5624, 5625, 5626, 5627, 5628, 5735, 6017, 6111, 6173, 6174, 6175, 6287, 6322, 6325, 6326, 6327, 6328, 6329, 6515, 6516, 6517, 6518, 6563, 6979, 6986, 7031, 7091, 7095, 7096, 7097, 7098, 7161, 7172, 7174, 7175, 7176, 7177, 7288, 7335, 7344, 7497, 7627, 7777, 7778, 7779, 7780, 7781, 7782, 7820, 7876, 7972, 7973, 7974, 7975, 8194, 8207, 8332, 8333, 8458, 8459, 8460, 8461, 8478, 8503, 8523, 8631, 8632, 8633, 8645, 8646, 8647, 8648, 8649, 8654, 8668, 8678, 8790, 8829, 8947, 8993, 9357, 9430, 9431, 9434, 9485, 9610, 9611, 9612, 9613, 9614, 9778, 9938, 9948, 10012, 10089, 10191, 10203, 10204, 10205, 10206, 10250, 10251, 10252, 10315, 10341, 10439, 10440, 10441, 10442, 10507, 10742, 10795, 10862, 10886, 10991, 11111, 11246, 11265, 11301, 11312, 11334, 11335, 11336, 11453, 11712, 11713, 11777, 11874, 11960, 11967, 12008, 12043, 12226, 12227, 12228, 12229, 12254, 12255, 12256, 12257, 12275, 12320, 12539, 12591, 12603, 12604, 12605, 12606, 12615, 12616, 12646, 12647, 12648, 12649, 12750, 12751, 12752, 12771, 12799, 12800, 12801, 12802, 12808, 12908, 12924, 12925, 12926, 12927, 13083, 13126, 13140, 13141, 13142, 13228, 13248, 13301, 13360, 13443, 13444, 13445, 13446, 13447, 13557, 13606, 13675, 13823, 13824, 13825, 13826, 13827, 13828, 13836, 13870, 13893, 14023, 14027, 14038, 14076, 14488, 14489, 14490, 14491, 14566, 14599, 14656, 14716, 14760, 14763, 14951, 14952, 14953, 14954, 15161, 15163, 15280, 15409, 15410, 15411, 15416, 15429, 15454, 15508, 15516]",001,KVF4482570,Santos & Filhos Comércio,DE
"[14, 15, 16, 17, 18, 60, 61, 69, 78, 79, 80, 81, 82, 149, 150, 151, 277, 306, 369, 372, 540, 562, 635, 636, 637, 638, 639, 678, 815, 936, 962, 1151, 1200, 1291, 1296, 1297, 1298, 1337, 1369, 1370, 1371, 1372, 1432, 1444, 1497, 1613, 1655, 1656, 1657, 1666, 1734, 1922, 1923, 1947, 1974, 2083, 2084, 2085, 2087, 2210, 2258, 2333, 2368, 2455, 2469, 2470, 2471, 2472, 2473, 2474, 2515, 2523, 2566, 2618, 2727, 2728, 2729, 2730, 2737, 2911, 2913, 3026, 3033, 3137, 3138, 3139, 3376, 3385, 3432, 3580, 3674, 3807, 3821, 3822, 3823, 3824, 3825, 3978, 4111, 4124, 4215, 4216, 4217, 4224, 4332, 4649, 4723, 4724, 4725, 5068, 5069, 5133, 5141, 5151, 5225, 5226, 5227, 5228, 5437, 5505, 5547, 5586, 5657, 5658, 5667, 5673, 5752, 5775, 5860, 5868, 6113, 6151, 6240, 6301, 6357, 6403, 6444, 6514, 6543, 6578, 6717, 6807, 6808, 6809, 6810, 7012, 7030, 7036, 7037, 7038, 7039, 7045, 7165, 7173, 7265, 7283, 7307, 7323, 7324, 7325, 7326, 7327, 7432, 7447, 7448, 7534, 7549, 7619, 7633, 7663, 7672, 7723, 7724, 7807, 7878, 7979, 7985, 8165, 8216, 8219, 8220, 8221, 8291, 8323, 8339, 8355, 8369, 8446, 8531, 8688, 8779, 8938, 9258, 9274, 9312, 9341, 9408, 9532, 9539, 9540, 9541, 9596, 9597, 9598, 9599, 9603, 9627, 9817, 9846, 10078, 10083, 10084, 10085, 10086, 10127, 10128, 10129, 10135, 10271, 10320, 10374, 10375, 10431, 10437, 10480, 10534, 10558, 10719, 10720, 10721, 10722, 10783, 10863, 10875, 10938, 10939, 10940, 10941, 10942, 11141, 11142, 11163, 11210, 11258, 11264, 11298, 11364, 11472, 11484, 11525, 11622, 11700, 11781, 11782, 11783, 11827, 11828, 11829, 11830, 11831, 11851, 11852, 11853, 11854, 11941, 12015, 12035, 12036, 12037, 12038, 12124, 12134, 12357, 12365, 12366, 12367, 12368, 12598, 12703, 12741, 12742, 12743, 12744, 12878, 13098, 13118, 13119, 13120, 13150, 13239, 13240, 13241, 13242, 13300, 13304, 13305, 13306, 13307, 13308, 13309, 13310, 13355, 13422, 13423, 13634, 13643, 13742, 13743, 13744, 13745, 13759, 13921, 14026, 14287, 14293, 14437, 14462, 14506, 14507, 14508, 14509, 14510, 14511, 14512, 14591, 14592, 14593, 14594, 14595, 14657, 14658, 14659, 14991, 14992, 14993, 14994, 14995, 15168, 15189, 15286, 15344, 15450, 15453]",001,JJM5054555,Shoreline Property Group,PA
"[19, 132, 453, 454, 455, 456, 714, 742, 789, 971, 998, 1025, 1026, 1225, 1239, 1240, 1241, 1242, 1243, 1244, 1373, 1418, 1492, 1493, 1494, 1495, 1496, 1580, 1581, 1582, 1662, 1700, 1736, 1782, 2147, 2209, 2260, 2365, 2636, 2944, 2970, 3078, 3079, 3080, 3081, 3082, 3083, 3258, 3259, 3260, 3261, 3362, 3406, 3446, 3447, 3448, 3449, 3450, 3521, 3731, 3785, 3833, 3862, 3881, 3882, 3883, 3884, 3885, 3886, 3964, 4013, 4021, 4038, 4039, 4161, 4206, 4207, 4208, 4209, 4210, 4231, 4288, 4289, 4487, 4638, 4673, 4674, 4990, 5014, 5152, 5153, 5154, 5155, 5156, 5178, 5199, 5217, 5302, 5363, 5436, 5451, 5606, 5706, 5728, 5869, 6001, 6299, 6373, 6374, 6375, 6376, 6377, 6396, 6442, 6469, 6544, 6663, 6682, 6772, 6843, 6848, 6903, 7067, 7182, 7183, 7184, 7185, 7186, 7200, 7385, 7450, 7484, 7485, 7486, 7487, 7488, 7594, 7644, 7645, 7646, 7686, 7702, 7703, 7704, 7714, 7715, 7716, 7717, 7718, 7719, 7770, 7921, 7954, 7964, 7989, 7990, 8040, 8041, 8042, 8043, 8170, 8185, 8186, 8187, 8305, 8415, 8497, 8629, 8644, 8661, 8662, 8663, 8679, 8697, 8708, 8796, 8837, 8842, 8898, 8900, 8901, 8902, 8940, 9022, 9023, 9024, 9025, 9070, 9071, 9072, 9073, 9128, 9129, 9130, 9176, 9256, 9257, 9358, 9377, 9378, 9379, 9380, 9728, 9921, 9922, 9923, 9924, 9925, 9926, 10244, 10245, 10246, 10247, 10248, 10285, 10314, 10616, 10617, 10618, 10619, 10620, 10836, 11066, 11259, 11269, 11270, 11442, 11462, 11633, 11710, 11787, 11871, 11902, 11949, 11950, 11951, 11962, 12004, 12066, 12067, 12238, 12258, 12273, 12371, 12494, 12495, 12496, 12504, 12515, 12564, 12664, 12665, 12666, 12667, 12884, 12898, 13031, 13088, 13161, 13236, 13297, 13316, 13396, 13397, 13398, 13399, 13400, 13401, 13452, 13591, 13611, 13642, 13879, 13949, 14155, 14196, 14285, 14304, 14322, 14369, 14390, 14391, 14392, 14424, 14628, 14689, 15133, 15166, 15200, 15208, 15364, 15479]",001,TCO9263651,Zhao & Sons Ltd.,EU
"[20, 146, 147, 148, 274, 379, 401, 554, 687, 688, 720, 726, 835, 938, 939, 940, 941, 942, 943, 967, 1043, 1135, 1148, 1149, 1150, 1159, 1196, 1267, 1268, 1271, 1482, 1647, 1658, 1661, 1711, 1712, 1713, 1739, 1740, 1741, 2054, 2055, 2056, 2246, 2247, 2248, 2249, 2250, 2251, 2348, 2397, 2398, 2412, 2514, 2565, 2610, 2611, 2612, 2613, 2672, 2739, 2763, 2795, 2874, 2875, 2876, 2877, 2886, 2895, 3008, 3215, 3216, 3217, 3218, 3346, 3489, 3506, 3704, 3957, 4054, 4172, 4229, 4230, 4304, 4321, 4334, 4368, 4389, 4482, 4721, 4748, 4855, 5108, 5117, 5171, 5377, 5512, 5551, 5552, 5553, 5554, 5555, 5556, 5557, 5791, 5792, 5793, 5794, 5795, 5797, 5798, 5799, 5800, 5820, 5935, 5949, 5989, 6100, 6101, 6102, 6177, 6282, 6304, 6332, 6333, 6334, 6435, 6466, 6502, 6512, 6577, 6617, 6620, 6758, 7152, 7158, 7160, 7164, 7322, 7336, 7337, 7338, 7339, 7423, 7476, 7477, 7478, 7536, 7552, 7577, 7662, 7665, 7720, 7810, 7858, 7897, 7945, 7947, 7978, 8209, 8252, 8286, 8364, 8408, 8409, 8410, 8411, 8412, 8468, 8469, 8470, 8471, 8529, 8613, 8625, 8626, 8627, 8715, 8716, 8717, 8757, 8954, 9143, 9144, 9145, 9174, 9286, 9287, 9371, 9520, 9522, 9523, 9524, 9525, 9556, 9818, 9819, 9820, 9890, 9915, 9916, 9919, 9988, 9989, 10027, 10028, 10029, 10030, 10042, 10150, 10217, 10278, 10279, 10280, 10281, 10282, 10334, 10347, 10514, 10659, 10709, 10776, 10792, 10906, 11015, 11096, 11284, 11285, 11286, 11287, 11355, 11376, 11377, 11378, 11379, 11384, 11640, 11845, 11861, 11892, 12611, 12777, 12784, 12804, 12825, 12839, 12981, 12982, 12983, 12984, 13061, 13122, 13123, 13124, 13319, 13320, 13321, 13322, 13493, 13543, 13605, 13623, 13624, 13625, 13626, 13761, 13777, 13886, 13994, 14025, 14079, 14092, 14208, 14228, 14569, 14695, 14701, 14708, 14709, 14710, 14711, 14712, 14842, 14843, 14844, 14845, 15032, 15190, 15352, 15353, 15354, 15368]",001,KST5094255,Infinity Edge Technologies,ES
"[21, 23, 71, 224, 233, 429, 595, 648, 649, 663, 668, 711, 728, 729, 730, 731, 732, 747, 804, 807, 984, 1010, 1116, 1117, 1118, 1119, 1120, 1121, 1147, 1165, 1224, 1230, 1231, 1232, 1233, 1234, 1304, 1330, 1332, 1426, 1472, 1517, 1685, 1870, 1871, 1992, 2078, 2131, 2157, 2216, 2271, 2272, 2273, 2291, 2304, 2308, 2336, 2426, 2541, 2766, 2767, 2768, 2769, 2800, 2949, 2956, 3062, 3063, 3064, 3065, 3105, 3116, 3117, 3118, 3159, 3212, 3213, 3256, 3435, 3451, 3504, 3534, 3585, 3644, 3652, 3730, 3784, 3829, 3830, 3831, 3942, 4018, 4020, 4050, 4173, 4205, 4417, 4418, 4419, 4420, 4441, 4478, 4484, 4543, 4567, 4611, 4646, 4715, 4716, 4717, 4718, 4772, 5005, 5128, 5142, 5205, 5234, 5352, 5387, 5665, 5669, 5722, 5746, 5857, 5946, 5947, 5948, 5962, 5963, 5964, 5985, 5986, 5987, 6158, 6290, 6331, 6404, 6481, 6497, 6500, 6505, 6510, 6673, 6901, 7011, 7018, 7019, 7020, 7188, 7219, 7231, 7244, 7245, 7246, 7250, 7332, 7496, 7551, 7611, 7669, 7670, 7728, 7730, 7915, 7924, 8003, 8084, 8085, 8090, 8155, 8176, 8234, 8235, 8236, 8237, 8296, 8325, 8440, 8706, 8749, 8966, 9526, 9649, 9725, 9766, 9873, 9882, 9939, 10044, 10050, 10060, 10228, 10258, 10332, 10408, 10419, 10435, 10508, 10509, 10510, 10511, 10515, 10533, 10547, 10566, 10567, 10626, 10689, 10749, 10750, 10751, 10755, 10785, 10866, 10867, 10868, 10869, 10876, 10901, 10902, 11001, 11165, 11296, 11309, 11553, 11561, 11806, 11822, 11848, 11866, 11867, 11868, 11869, 11876, 12202, 12279, 12280, 12281, 12282, 12283, 12292, 12293, 12294, 12309, 12402, 12403, 12404, 12405, 12406, 12454, 12472, 12499, 12572, 12573, 12574, 12575, 12650, 12858, 12859, 12860, 12861, 12862, 12863, 12869, 13052, 13113, 13238, 13311, 13333, 13367, 13395, 13589, 13613, 13635, 13676, 13678, 13692, 13693, 13719, 13787, 13815, 13816, 13817, 13818, 13846, 13920, 14013, 14041, 14089, 14253, 14294, 14396, 14514, 14555, 14622, 14705, 14718, 14753, 14872, 15046, 15053, 15054, 15055, 15056, 15083, 15098, 15108, 15143, 15196, 15271, 15387, 15388, 15389, 15390, 15449, 15472]",001,XWZ9909813,Crimson Event Management,SV
"[22, 263, 269, 354, 534, 571, 572, 573, 574, 575, 576, 577, 578, 626, 647, 707, 771, 772, 773, 889, 890, 891, 892, 947, 1056, 1057, 1058, 1085, 1176, 1303, 1318, 1346, 1347, 1348, 1349, 1360, 1380, 1467, 1475, 1477, 1478, 1479, 1480, 1537, 1640, 1695, 1701, 1798, 1820, 1861, 1872, 2027, 2030, 2031, 2058, 2188, 2189, 2318, 2319, 2371, 2435, 2466, 2513, 2561, 2628, 2629, 2630, 2658, 2679, 2715, 2716, 2717, 2718, 2774, 2775, 2776, 2777, 2778, 2779, 2873, 2919, 2990, 3089, 3090, 3091, 3097, 3100, 3101, 3196, 3495, 3507, 3508, 3509, 3598, 3614, 3678, 3684, 3896, 3897, 3898, 3899, 3900, 3917, 3922, 3977, 4004, 4005, 4006, 4007, 4008, 4009, 4145, 4351, 4377, 4631, 4707, 4757, 4758, 4759, 4801, 4932, 4956, 5134, 5294, 5332, 5342, 5613, 5723, 5940, 5967, 5968, 5969, 6003, 6137, 6349, 6356, 6360, 6389, 6428, 6429, 6430, 6431, 6432, 6472, 6489, 6511, 6548, 6549, 6550, 6551, 6552, 6576, 6619, 6988, 7048, 7049, 7050, 7125, 7329, 7330, 7331, 7341, 7520, 7522, 7621, 7748, 7928, 7929, 7986, 8190, 8191, 8192, 8260, 8261, 8262, 8263, 8264, 8267, 8268, 8269, 8270, 8271, 8306, 8435, 8604, 8612, 8764, 8907, 8910, 8911, 9039, 9040, 9195, 9214, 9226, 9261, 9262, 9263, 9264, 9354, 9436, 9622, 9623, 9762, 9806, 9829, 9834, 10006, 10007, 10008, 10009, 10025, 10125, 10382, 10383, 10403, 10472, 10541, 10560, 10561, 10562, 10563, 10609, 10745, 10856, 10921, 11022, 11302, 11390, 11401, 11432, 11467, 11531, 11670, 11686, 11701, 11718, 11727, 11750, 11807, 11858, 11875, 11938, 11974, 12049, 12087, 12088, 12089, 12150, 12195, 12274, 12285, 12424, 12481, 12536, 12544, 12557, 12558, 12559, 12560, 12561, 12562, 12595, 12864, 13073, 13115, 13247, 13510, 13511, 13512, 13721, 13955, 13997, 13998, 14220, 14451, 14471, 14603, 14665, 14667, 14746, 14752, 14764, 14765, 14766, 14767, 14768, 14779, 14833, 14969, 14980, 15244, 15351, 15394, 15395, 15421]",001,CDK1354752,Ivanov & Partners Ltd.,SV
"[24, 44, 46, 62, 225, 321, 368, 392, 446, 500, 501, 502, 569, 949, 1087, 1106, 1107, 1108, 1109, 1115, 1256, 1263, 1344, 1350, 1352, 1353, 1354, 1594, 1595, 1596, 1610, 1717, 1744, 1745, 1753, 1754, 1954, 1955, 1956, 2024, 2025, 2088, 2175, 2311, 2312, 2313, 2314, 2315, 2344, 2436, 2486, 2487, 2488, 2489, 2545, 2713, 2780, 2781, 2887, 2888, 2889, 2890, 2891, 2892, 2893, 2894, 3034, 3167, 3270, 3279, 3355, 3430, 3719, 3770, 3910, 3932, 3933, 3934, 3935, 4085, 4097, 4122, 4196, 4212, 4213, 4225, 4246, 4257, 4260, 4360, 4370, 4616, 4654, 4722, 4742, 4775, 4816, 4848, 4973, 5021, 5022, 5023, 5041, 5099, 5212, 5213, 5214, 5215, 5269, 5432, 5498, 5558, 5577, 5685, 5705, 5784, 5878, 5879, 5918, 5919, 5920, 5921, 5922, 5923, 6008, 6030, 6032, 6124, 6192, 6225, 6226, 6341, 6412, 6413, 6414, 6415, 6561, 6748, 6913, 7056, 7057, 7179, 7359, 7480, 7667, 7668, 7865, 7869, 7981, 7982, 7999, 8004, 8063, 8064, 8065, 8066, 8067, 8114, 8477, 8539, 8545, 8546, 8547, 8548, 8549, 8635, 8771, 8838, 9202, 9203, 9204, 9205, 9206, 9342, 9368, 9369, 9370, 9679, 9785, 9786, 9787, 9788, 9811, 9857, 9858, 9859, 9860, 9861, 9862, 9863, 9952, 9953, 9954, 9955, 10101, 10142, 10316, 10337, 10409, 10410, 10411, 10412, 10413, 10414, 10453, 10471, 10474, 10635, 10788, 10789, 10857, 10858, 10890, 10919, 11081, 11082, 11083, 11146, 11164, 11225, 11292, 11383, 11508, 11592, 11593, 11594, 11595, 11596, 11689, 11702, 12006, 12007, 12045, 12065, 12125, 12151, 12183, 12185, 12231, 12251, 12277, 12336, 12508, 12537, 12542, 12568, 12576, 12577, 12578, 12579, 12656, 12786, 12963, 12976, 12977, 12978, 13008, 13009, 13010, 13059, 13135, 13185, 13186, 13187, 13188, 13208, 13370, 13386, 13632, 13707, 13741, 13799, 13800, 14047, 14052, 14226, 14281, 14536, 14545, 14633, 14646, 14649, 14831, 14928, 14929, 14998, 15066, 15229, 15230, 15231, 15232, 15233, 15365, 15391, 15474]",001,JMV1008381,Bertolini & Co. SRL,JP
