invoice_id,MANDT,BURKS,GJAHR,BELNR,WAERS,BLDAT
[0],001,1000,2009,1000031421,JPY,20090920
[1],001,1000,2021,1000007386,JPY,20210920
[2],001,1000,2020,1000017045,USD,20200920
[3],001,1000,2023,1000000176,USD,20230920
[4],001,1000,2017,1000005233,USD,20170920
[5],001,1000,2003,1000003406,USD,20030920
[6],001,1000,2001,1000005208,USD,20010920
[7],001,3000,2024,1000009613,USD,20240920
[8],001,1000,2020,1000001432,EUR,20200920
[9],001,1000,2003,1000004441,USD,20030920
[10],001,2000,2022,1000004345,USD,20220920
[11],001,3000,2019,1000005844,EUR,20190920
[12],001,3000,2019,1000000995,EUR,20190920
[13],001,3000,2019,1000004238,EUR,20190920
[14],001,3000,2019,1000003848,EUR,20190920
[15],001,3000,2019,1000019568,EUR,20190920
[16],001,3000,2019,1000002054,EUR,20190920
[17],001,3000,2019,1000002372,EUR,20190920
[18],001,1000,2017,1000001218,EUR,20170920
[19],001,1000,2017,1000002763,EUR,20170920
[20],001,1000,2017,1000003927,EUR,20170920
[21],001,1000,2017,1000001523,EUR,20170920
[22],001,1000,2017,1000012319,EUR,20170920
[23],001,1000,2017,1000003109,EUR,20170920
[24],001,2000,2024,1000008603,USD,20240920
[25],001,2000,2009,1000008293,USD,20090920
[26],001,3000,2008,1000000244,NZD,20080920
[27],001,3000,2008,1000004525,NZD,20080920
[28],001,3000,2008,1000003704,NZD,20080920
[29],001,3000,2008,1000021744,NZD,20080920
[30],001,3000,2008,1000006805,NZD,20080920
[31],001,1000,2017,1000010743,JPY,20170920
[32],001,3000,2021,1000032362,CHF,20210920
[33],001,3000,2021,1000007897,CHF,20210920
[34],001,3000,2021,1000016123,CHF,20210920
[35],001,2000,2023,1000026549,USD,20230920
[36],001,2000,2023,1000027506,USD,20230920
[37],001,2000,2023,1000017208,USD,20230920
[38],001,1000,2010,1000008143,EUR,20100920
[39],001,2000,2003,1000007842,USD,20030920
[40],001,2000,2016,1000005567,USD,20160920
[41],001,1000,2003,1000015608,USD,20030920
[42],001,3000,2022,1000001395,JPY,20220920
[43],001,1000,2020,1000016749,EUR,20200920
[44],001,1000,2013,1000005524,USD,20130920
[45],001,1000,2021,1000002312,KRW,20210920
[46],001,2000,2014,1000010577,EUR,20140920
[47],001,2000,2014,1000008111,EUR,20140920
[48],001,2000,2014,1000003331,EUR,20140920
[49],001,2000,2014,1000017694,EUR,20140920
[50],001,2000,2014,1000004417,EUR,20140920
[51],001,2000,2014,1000003295,EUR,20140920
[52],001,1000,2009,1000002093,USD,20090920
[53],001,1000,2009,1000006868,USD,20090920
[54],001,1000,2009,1000000191,USD,20090920
[55],001,1000,2005,1000020545,EUR,20050920
[56],001,1000,2024,1000021006,USD,20240920
[57],001,1000,2004,1000003055,USD,20040920
[58],001,2000,2001,1000010423,USD,20010920
[59],001,1000,2007,1000000057,USD,20070920
[60],001,1000,2001,1000013397,EUR,20010920
[61],001,3000,2007,1000004010,USD,20070920
[62],001,6000,2002,1000000136,USD,20020920
[63],001,3000,2005,1000002046,EUR,20050920
[64],001,2000,2018,1000001067,USD,20180920
[65],001,2000,2018,1000007671,USD,20180920
[66],001,2000,2018,1000008991,USD,20180920
[67],001,2000,2018,1000003501,USD,20180920
[68],001,2000,2018,1000009075,USD,20180920
[69],001,2000,2018,1000006966,USD,20180920
[70],001,1000,2018,1000009791,EUR,20180920
[71],001,3000,2019,1000026399,USD,20190920
[72],001,3000,2013,1000000743,JPY,20130920
[73],001,1000,2020,1000004939,KRW,20200920
[74],001,1000,2007,1000010768,JPY,20070920
[75],001,3000,2007,1000012133,EUR,20070920
[76],001,2000,2021,1000015035,USD,20210920
[77],001,5000,2000,1000006573,JPY,20000920
[78],001,4000,2012,1000013868,EUR,20120920
[79],001,3000,2018,1000006629,USD,20180920
[80],001,3000,2018,1000011875,USD,20180920
[81],001,3000,2018,1000003953,USD,20180920
[82],001,1000,2010,1000008634,AUD,20100920
[83],001,1000,2011,1000000858,USD,20110920
[84],001,3000,2014,1000002760,USD,20140920
[85],001,3000,2005,1000022466,USD,20050920
[86],001,3000,2005,1000002846,USD,20050920
[87],001,3000,2005,1000006849,USD,20050920
[88],001,2000,2015,1000004794,NOK,20150920
[89],001,1000,2011,1000003806,EUR,20110920
[90],001,1000,2022,1000027953,KRW,20220920
[91],001,3000,2019,1000018788,NZD,20190920
[92],001,1000,2021,1000004328,EUR,20210920
[93],001,1000,2020,1000000170,USD,20200920
[94],001,5000,2002,1000022274,USD,20020920
[95],001,5000,2002,1000000448,USD,20020920
[96],001,1000,2000,1000002602,EUR,20000920
[97],001,1000,2018,1000003583,CHF,20180920
[98],001,1000,2018,1000002593,KRW,20180920
[99],001,1000,2018,1000006621,USD,20180920
[100],001,1000,2018,1000015775,USD,20180920
[101],001,1000,2018,1000002352,USD,20180920
[102],001,3000,2003,1000037677,USD,20030920
[103],001,1000,2020,1000014365,USD,20200920
[104],001,2000,2020,1000000484,USD,20200920
[105],001,2000,2020,1000009833,USD,20200920
[106],001,2000,2020,1000000423,USD,20200920
[107],001,2000,2020,1000002487,USD,20200920
[108],001,2000,2023,1000001207,JPY,20230920
[109],001,4000,2016,1000001024,USD,20160920
[110],001,4000,2015,1000010381,USD,20150920
[111],001,6000,2017,1000004571,EUR,20170920
[112],001,1000,2006,1000033674,USD,20060920
[113],001,1000,2019,1000003622,USD,20190920
[114],001,1000,2000,1000002810,JPY,20000920
[115],001,6000,2009,1000002874,USD,20090920
[116],001,2000,2022,1000002677,EUR,20220920
[117],001,2000,2022,1000002453,EUR,20220920
[118],001,2000,2022,1000001128,EUR,20220920
[119],001,2000,2022,1000006395,EUR,20220920
[120],001,2000,2022,1000004921,EUR,20220920
[121],001,1000,2020,1000014442,USD,20200920
[122],001,1000,2020,1000002931,USD,20200920
[123],001,1000,2020,1000002122,USD,20200920
[124],001,1000,2007,1000004658,USD,20070920
[125],001,1000,2003,1000001116,NZD,20030920
[126],001,2000,2003,1000004562,KRW,20030920
[127],001,1000,2017,1000001455,USD,20170920
[128],001,1000,2012,1000002427,EUR,20120920
[129],001,1000,2008,1000041271,USD,20080920
[130],001,1000,2008,1000017557,USD,20080920
[131],001,1000,2008,1000004597,USD,20080920
[132],001,1000,2008,1000009942,USD,20080920
[133],001,1000,2008,1000002231,USD,20080920
[134],001,1000,2008,1000009444,USD,20080920
[135],001,1000,2010,1000006224,USD,20100920
[136],001,1000,2010,1000001159,USD,20100920
[137],001,1000,2010,1000007751,USD,20100920
[138],001,1000,2005,1000009768,USD,20050920
[139],001,1000,2005,1000005763,USD,20050920
[140],001,1000,2005,1000007102,USD,20050920
[141],001,1000,2005,1000018525,USD,20050920
