invoice_id,MANDT,BURKS,GJAHR,BELNR,BZUEI,ZUONR,VBELN,KUNNR,WRBTR,ZFBDT,ZTERM
[0],001,1000,2009,1000031421,001,INV100000000022749,INV10000,JMV1008381,24168654.34,20091015,0013
[1],001,1000,2021,1000007386,001,INV100000000002294,9647723133,JMV1008381,12759939.41,20210924,0013
[2],001,1000,2020,1000017045,001,INV100000000007826,1578143475,JYB8631854,278910.95,20201027,0002
[3],001,1000,2023,1000000176,001,INV100000000048027,4363371151,MUT0417299,85146.96,20231003,0013
[4],001,1000,2017,1000005233,002,INV100000000006723,4070986529,XQI8289538,40603.64,20171015,0023
[5],001,1000,2003,1000003406,001,INV100000000002495,5526904987,DDD0641353,133938.29,20031105,0025
[6],001,1000,2001,1000005208,003,INV100000000016443,6357782814,ZAL0239607,203641.89,20011001,0008
[7],001,3000,2024,1000009613,001,INV100000000013471,3247431550,JVE9656627,48079.45,20240921,0020
[8],001,1000,2020,1000001432,001,INV100000000013418,4521451837,GXB1113780,53806.32,20200926,0019
[9],001,1000,2003,1000004441,001,INV100000000001772,1163779053,JJM5054555,119491.31,20031010,0001
[10],001,2000,2022,1000004345,001,INV100000000001254,8569973424,DDD0641353,223937.29,20221024,0023
[11],001,3000,2019,1000005844,001,INV100000000017487,4383396806,QYY2957205,157942.64,20191007,0005
[12],001,3000,2019,1000000995,001,INV100000000014371,0307962635,QYY2957205,75724.87,20191003,0005
[13],001,3000,2019,1000004238,001,INV100000000029115,9767047174,QYY2957205,125000.72,20191006,0005
[14],001,3000,2019,1000003848,001,INV100000000006335,6623402217,QYY2957205,97990.31,20190926,0005
[15],001,3000,2019,1000019568,001,INV100000000003607,1283433507,QYY2957205,126406.25,20191022,0005
[16],001,3000,2019,1000002054,001,INV100000000005764,7452573180,QYY2957205,69680.42,20190929,0005
[17],001,3000,2019,1000002372,001,INV100000000016197,5735145729,QYY2957205,110099.12,20191018,0005
[18],001,1000,2017,1000001218,002,INV100000000006923,6694520639,ZYU5636450,257175.94,20171031,0027
[19],001,1000,2017,1000002763,001,INV100000000007355,0909370975,ZYU5636450,109293.2,20171011,0027
[20],001,1000,2017,1000003927,001,INV100000000019175,0679919258,ZYU5636450,211342.42,20171021,0027
[21],001,1000,2017,1000001523,001,INV100000000023553,8624481589,ZYU5636450,34166.15,20171005,0027
[22],001,1000,2017,1000012319,001,INV100000000004537,4717758716,ZYU5636450,137057.65,20171002,0027
[23],001,1000,2017,1000003109,001,INV100000000012180,6691248008,ZYU5636450,245816.49,20171026,0027
[24],001,2000,2024,1000008603,001,INV100000000010648,6602151877,SVK9876542,111135.06,20241006,0012
[25],001,2000,2009,1000008293,001,INV100000000000021,3130294325,MTU0130847,32316.36,20090928,0017
[26],001,3000,2008,1000000244,001,INV100000000000976,0464920642,SIZ6820794,116007.07,20081007,0008
[27],001,3000,2008,1000004525,001,INV100000000000561,4535529377,SIZ6820794,163706.68,20080923,0008
[28],001,3000,2008,1000003704,001,INV100000000003238,1376064833,SIZ6820794,218790.73,20081017,0008
[29],001,3000,2008,1000021744,001,INV100000000007361,0661765806,SIZ6820794,412309.34,20080926,0008
[30],001,3000,2008,1000006805,001,INV100000000015120,9133787568,SIZ6820794,339480.5,20081016,0008
[31],001,1000,2017,1000010743,001,INV100000000010215,2825957687,YSV1911248,17986693.61,20170929,0020
[32],001,3000,2021,1000032362,001,INV100000000036507,9407370457,UXJ6820071,66660.81,20211005,0018
[33],001,3000,2021,1000007897,001,INV100000000007793,5354546386,UXJ6820071,112183.82,20211023,0018
[34],001,3000,2021,1000016123,001,INV100000000000345,0102140747,UXJ6820071,115844.61,20211010,0018
[35],001,2000,2023,1000026549,005,INV100000000015905,2984795489,EEN7276041,246157.09,20231026,0013
[36],001,2000,2023,1000027506,001,INV100000000012364,0316298729,EEN7276041,100451.44,20230927,0013
[37],001,2000,2023,1000017208,001,INV100000000002472,2635743824,EEN7276041,99998.23,20231003,0013
[38],001,1000,2010,1000008143,001,INV100000000001463,9078589570,ABL2462450,257230.37,20101010,0010
[39],001,2000,2003,1000007842,001,INV100000000004350,3983179601,DDD0641353,48684.4,20030928,0023
