invoice_id,MANDT,BURKS,GJAHR,BELNR,BZUEI,ZUONR,VBELN,KUNNR,NAME1,WAERS,WRBTR,BLDAT,ZFBDT
0,001,1000,2009,1000031421,001,INV100000000022749,INV10000,JMV1008381,Bertolini & Co. SRL,JPY,24168654.34,20090920,20091015
1,001,1000,2021,1000007386,001,INV100000000002294,9647723133,JMV1008381,Bertolini & Co. SRL,JPY,12759939.41,20210920,20210924
2,001,1000,2020,1000017045,001,INV100000000007826,1578143475,JYB8631854,Dubois & Co. S.A.R.L.,USD,278910.95,20200920,20201027
3,001,1000,2023,1000000176,001,INV100000000048027,4363371151,MUT0417299,Ramirez & Hijos Consultoría,USD,85146.96,20230920,20231003
4,001,1000,2017,1000005233,002,INV100000000006723,4070986529,XQI8289538,Nexus Financial Services,USD,40603.64,20170920,20171015
5,001,1000,2003,1000003406,001,INV100000000002495,5526904987,DDD0641353,Zhang & Co. Limited,USD,133938.29,20030920,20031105
6,001,1000,2001,1000005208,003,INV100000000016443,6357782814,ZAL0239607,Aurora Digital Labs,USD,203641.89,20010920,20011001
7,001,3000,2024,1000009613,001,INV100000000013471,3247431550,JVE9656627,Vista Health Care Services,USD,48079.45,20240920,20240921
8,001,1000,2020,1000001432,001,INV100000000013418,4521451837,GXB1113780,Hassan & Co. Ltd.,EUR,53806.32,20200920,20200926
9,001,1000,2003,1000004441,001,INV100000000001772,1163779053,JJM5054555,Shoreline Property Group,USD,119491.31,20030920,20031010
10,001,2000,2022,1000004345,001,INV100000000001254,8569973424,DDD0641353,Zhang & Co. Limited,USD,223937.29,20220920,20221024
11,001,3000,2019,1000005844,001,INV100000000017487,4383396806,QYY2957205,Park & Lee Solutions,EUR,157942.64,20190920,20191007
12,001,3000,2019,1000000995,001,INV100000000014371,0307962635,QYY2957205,Park & Lee Solutions,EUR,75724.87,20190920,20191003
13,001,3000,2019,1000004238,001,INV100000000029115,9767047174,QYY2957205,Park & Lee Solutions,EUR,125000.72,20190920,20191006
14,001,3000,2019,1000003848,001,INV100000000006335,6623402217,QYY2957205,Park & Lee Solutions,EUR,97990.31,20190920,20190926
15,001,3000,2019,1000019568,001,INV100000000003607,1283433507,QYY2957205,Park & Lee Solutions,EUR,126406.25,20190920,20191022
16,001,3000,2019,1000002054,001,INV100000000005764,7452573180,QYY2957205,Park & Lee Solutions,EUR,69680.42,20190920,20190929
17,001,3000,2019,1000002372,001,INV100000000016197,5735145729,QYY2957205,Park & Lee Solutions,EUR,110099.12,20190920,20191018
18,001,1000,2017,1000001218,002,INV100000000006923,6694520639,ZYU5636450,Nakamura & Co. 株式会社,EUR,257175.94,20170920,20171031
19,001,1000,2017,1000002763,001,INV100000000007355,0909370975,ZYU5636450,Nakamura & Co. 株式会社,EUR,109293.2,20170920,20171011
20,001,1000,2017,1000003927,001,INV100000000019175,0679919258,ZYU5636450,Nakamura & Co. 株式会社,EUR,211342.42,20170920,20171021
21,001,1000,2017,1000001523,001,INV100000000023553,8624481589,ZYU5636450,Nakamura & Co. 株式会社,EUR,34166.15,20170920,20171005
22,001,1000,2017,1000012319,001,INV100000000004537,4717758716,ZYU5636450,Nakamura & Co. 株式会社,EUR,137057.65,20170920,20171002
23,001,1000,2017,1000003109,001,INV100000000012180,6691248008,ZYU5636450,Nakamura & Co. 株式会社,EUR,245816.49,20170920,20171026
24,001,2000,2024,1000008603,001,INV100000000010648,6602151877,SVK9876542,Oliveira & Filhos Comércio,USD,111135.06,20240920,20241006
25,001,2000,2009,1000008293,001,INV100000000000021,3130294325,MTU0130847,Ivanov & Sons Engineering,USD,32316.36,20090920,20090928
26,001,3000,2008,1000000244,001,INV100000000000976,0464920642,SIZ6820794,Global Solutions Ltd,NZD,116007.07,20080920,20081007
27,001,3000,2008,1000004525,001,INV100000000000561,4535529377,SIZ6820794,Global Solutions Ltd,NZD,163706.68,20080920,20080923
28,001,3000,2008,1000003704,001,INV100000000003238,1376064833,SIZ6820794,Global Solutions Ltd,NZD,218790.73,20080920,20081017
29,001,3000,2008,1000021744,001,INV100000000007361,0661765806,SIZ6820794,Global Solutions Ltd,NZD,412309.34,20080920,20080926
30,001,3000,2008,1000006805,001,INV100000000015120,9133787568,SIZ6820794,Global Solutions Ltd,NZD,339480.5,20080920,20081016
31,001,1000,2017,1000010743,001,INV100000000010215,2825957687,YSV1911248,Galaxy IT Services,JPY,17986693.61,20170920,20170929
32,001,3000,2021,1000032362,001,INV100000000036507,9407370457,UXJ6820071,Rossi & Figli S.p.A.,CHF,66660.81,20210920,20211005
33,001,3000,2021,1000007897,001,INV100000000007793,5354546386,UXJ6820071,Rossi & Figli S.p.A.,CHF,112183.82,20210920,20211023
34,001,3000,2021,1000016123,001,INV100000000000345,0102140747,UXJ6820071,Rossi & Figli S.p.A.,CHF,115844.61,20210920,20211010
35,001,2000,2023,1000026549,005,INV100000000015905,2984795489,EEN7276041,Apollo Catering Services,USD,246157.09,20230920,20231026
36,001,2000,2023,1000027506,001,INV100000000012364,0316298729,EEN7276041,Apollo Catering Services,USD,100451.44,20230920,20230927
37,001,2000,2023,1000017208,001,INV100000000002472,2635743824,EEN7276041,Apollo Catering Services,USD,99998.23,20230920,20231003
38,001,1000,2010,1000008143,001,INV100000000001463,9078589570,ABL2462450,Kim & Choi Electronics,EUR,257230.37,20100920,20101010
39,001,2000,2003,1000007842,001,INV100000000004350,3983179601,DDD0641353,Zhang & Co. Limited,USD,48684.4,20030920,20030928
40,001,2000,2016,1000005567,001,INV100000000003482,1680208876,EXV9923358,Kim & Lee Technologies,USD,90518.63,20160920,20161004
41,001,1000,2003,1000015608,001,INV100000000007724,5927739589,CDK1354752,Ivanov & Partners Ltd.,USD,271575.54,20030920,20030927
42,001,3000,2022,1000001395,001,INV100000000002916,4934013398,TLW0369383,Blue Horizon Travel Ltd,JPY,6070241.41,20220920,20221002
43,001,1000,2020,1000016749,001,INV100000000007332,4739368706,TAE8255972,Lumen Power Technologies,EUR,200574.74,20200920,20201031
44,001,1000,2013,1000005524,001,INV100000000002043,9007326621,EEN7276041,Apollo Catering Services,USD,155924.69,20130920,20131004
45,001,1000,2021,1000002312,002,INV100000000038044,3987343049,GPN1729300,Schmidt & Partners AG,KRW,151580543.33,20210920,20211007
46,001,2000,2014,1000010577,001,INV100000000001675,4674296096,ZYU5636450,Nakamura & Co. 株式会社,EUR,260513.74,20140920,20141005
47,001,2000,2014,1000008111,001,INV100000000006505,7038229937,ZYU5636450,Nakamura & Co. 株式会社,EUR,271348.94,20140920,20140926
48,001,2000,2014,1000003331,001,INV100000000015470,5535403769,ZYU5636450,Nakamura & Co. 株式会社,EUR,382143.61,20140920,20141004
49,001,2000,2014,1000017694,001,INV100000000000868,2338663737,ZYU5636450,Nakamura & Co. 株式会社,EUR,333835.24,20140920,20140922
50,001,2000,2014,1000004417,001,INV100000000006828,6026383405,ZYU5636450,Nakamura & Co. 株式会社,EUR,203466.02,20140920,20141004
51,001,2000,2014,1000003295,001,INV100000000003027,6898556161,ZYU5636450,Nakamura & Co. 株式会社,EUR,217041.83,20140920,20141005
52,001,1000,2009,1000002093,001,INV100000000024620,8766659378,EIJ1498063,Rossi & Figli Costruzioni,USD,392768.26,20090920,20090929
53,001,1000,2009,1000006868,001,INV100000000024991,4008803775,EIJ1498063,Rossi & Figli Costruzioni,USD,97952.93,20090920,20091007
54,001,1000,2009,1000000191,001,INV100000000009639,3648511038,EIJ1498063,Rossi & Figli Costruzioni,USD,45864.99,20090920,20091016
55,001,1000,2005,1000020545,001,INV100000000012700,9494153995,TAE8255972,Lumen Power Technologies,EUR,74089.56,20050920,20051008
56,001,1000,2024,1000021006,001,INV100000000012113,4362776332,YGQ8237982,Eagle Financial Group,USD,70729.85,20240920,20241003
